Name: 
Address: 
Number	Record Time	Temperature(°C)	Humidity(%)
 41	 2023-12-20 13:00:40	 17.4	 44
 42	 2023-12-20 13:00:56	 17.3	 44
 43	 2023-12-20 13:01:12	 17.3	 44
 44	 2023-12-20 13:01:28	 17.2	 44
 45	 2023-12-20 13:01:44	 17.2	 44
 46	 2023-12-20 13:02:00	 17.2	 44
 47	 2023-12-20 13:02:16	 17.2	 44
 48	 2023-12-20 13:02:32	 17.1	 44
 49	 2023-12-20 13:02:48	 17.1	 43
 50	 2023-12-20 13:03:04	 17.0	 43
 51	 2023-12-20 13:03:20	 16.9	 42
 52	 2023-12-20 13:03:36	 16.9	 41
 53	 2023-12-20 13:03:52	 16.8	 40
 54	 2023-12-20 13:04:08	 16.8	 38
 55	 2023-12-20 13:04:24	 16.7	 36
 56	 2023-12-20 13:04:40	 16.7	 34
 57	 2023-12-20 13:04:56	 16.6	 32
 58	 2023-12-20 13:05:12	 16.6	 31
 59	 2023-12-20 13:05:28	 16.6	 30
 60	 2023-12-20 13:05:44	 16.5	 30
 61	 2023-12-20 13:06:00	 16.5	 28
 62	 2023-12-20 13:06:16	 16.5	 28
 63	 2023-12-20 13:06:32	 16.4	 22
 64	 2023-12-20 13:06:48	 16.4	 22
 65	 2023-12-20 13:07:04	 16.4	 22
 66	 2023-12-20 13:07:20	 16.4	 22
 67	 2023-12-20 13:07:36	 16.3	 22
 68	 2023-12-20 13:07:52	 16.3	 22
 69	 2023-12-20 13:08:08	 16.3	 22
 70	 2023-12-20 13:08:24	 16.3	 22
 71	 2023-12-20 13:08:40	 16.3	 19
 72	 2023-12-20 13:08:56	 16.3	 19
 73	 2023-12-20 13:09:12	 16.3	 19
 74	 2023-12-20 13:09:28	 16.3	 19
 75	 2023-12-20 13:09:44	 16.2	 19
 76	 2023-12-20 13:10:00	 16.2	 19
 77	 2023-12-20 13:10:16	 16.2	 19
 78	 2023-12-20 13:10:32	 16.2	 19
 79	 2023-12-20 13:10:48	 16.2	 19
 80	 2023-12-20 13:11:04	 16.2	 19
 81	 2023-12-20 13:11:20	 16.2	 19
 82	 2023-12-20 13:11:36	 16.2	 19
 83	 2023-12-20 13:11:52	 16.1	 19
 84	 2023-12-20 13:12:08	 16.1	 19
 85	 2023-12-20 13:12:24	 16.1	 19
 86	 2023-12-20 13:12:40	 16.1	 19
 87	 2023-12-20 13:12:56	 16.1	 19
 88	 2023-12-20 13:13:12	 16.1	 19
 89	 2023-12-20 13:13:28	 16.1	 19
 90	 2023-12-20 13:13:44	 16.1	 19
 91	 2023-12-20 13:14:00	 16.1	 19
 92	 2023-12-20 13:14:16	 16.0	 19
 93	 2023-12-20 13:14:32	 16.0	 19
 94	 2023-12-20 13:14:48	 16.0	 19
 95	 2023-12-20 13:15:04	 16.0	 19
 96	 2023-12-20 13:15:20	 16.0	 19
 97	 2023-12-20 13:15:36	 16.0	 19
 98	 2023-12-20 13:15:52	 16.0	 19
 99	 2023-12-20 13:16:08	 16.0	 19
 100	 2023-12-20 13:16:24	 16.0	 19
 101	 2023-12-20 13:16:40	 16.0	 19
 102	 2023-12-20 13:16:56	 16.0	 19
 103	 2023-12-20 13:17:12	 16.0	 19
 104	 2023-12-20 13:17:28	 16.0	 19
 105	 2023-12-20 13:17:44	 16.0	 19
 106	 2023-12-20 13:18:00	 16.0	 19
 107	 2023-12-20 13:18:16	 16.0	 19
 108	 2023-12-20 13:18:32	 16.0	 19
 109	 2023-12-20 13:18:48	 16.0	 19
 110	 2023-12-20 13:19:04	 16.0	 19
 111	 2023-12-20 13:19:20	 16.0	 19
 112	 2023-12-20 13:19:36	 16.0	 19
 113	 2023-12-20 13:19:52	 16.0	 19
 114	 2023-12-20 13:20:08	 16.0	 19
 115	 2023-12-20 13:20:24	 16.0	 19
 116	 2023-12-20 13:20:40	 15.9	 19
 117	 2023-12-20 13:20:56	 15.9	 19
 118	 2023-12-20 13:21:12	 15.9	 19
 119	 2023-12-20 13:21:28	 15.9	 19
 120	 2023-12-20 13:21:44	 15.9	 19
 121	 2023-12-20 13:22:00	 15.9	 19
 122	 2023-12-20 13:22:16	 15.9	 19
 123	 2023-12-20 13:22:32	 15.9	 19
 124	 2023-12-20 13:22:48	 15.9	 19
 125	 2023-12-20 13:23:04	 15.9	 19
 126	 2023-12-20 13:23:20	 15.9	 19
 127	 2023-12-20 13:23:36	 15.9	 19
 128	 2023-12-20 13:23:52	 15.9	 19
 129	 2023-12-20 13:24:08	 15.9	 19
 130	 2023-12-20 13:24:24	 15.9	 19
 131	 2023-12-20 13:24:40	 15.9	 19
 132	 2023-12-20 13:24:56	 15.9	 19
 133	 2023-12-20 13:25:12	 15.9	 19
 134	 2023-12-20 13:25:28	 15.9	 19
 135	 2023-12-20 13:25:44	 15.9	 19
 136	 2023-12-20 13:26:00	 15.9	 19
 137	 2023-12-20 13:26:16	 15.9	 19
 138	 2023-12-20 13:26:32	 15.9	 19
 139	 2023-12-20 13:26:48	 15.9	 19
 140	 2023-12-20 13:27:04	 15.9	 19
 141	 2023-12-20 13:27:20	 15.9	 19
 142	 2023-12-20 13:27:36	 15.9	 19
 143	 2023-12-20 13:27:52	 15.9	 19
 144	 2023-12-20 13:28:08	 15.9	 19
 145	 2023-12-20 13:28:24	 15.9	 19
 146	 2023-12-20 13:28:40	 15.9	 19
 147	 2023-12-20 13:28:56	 15.9	 19
 148	 2023-12-20 13:29:12	 15.9	 19
 149	 2023-12-20 13:29:28	 15.9	 19
 150	 2023-12-20 13:29:44	 15.9	 19
 151	 2023-12-20 13:30:00	 15.8	 19
 152	 2023-12-20 13:30:16	 15.8	 19
 153	 2023-12-20 13:30:32	 15.8	 19
 154	 2023-12-20 13:30:48	 15.8	 19
 155	 2023-12-20 13:31:04	 15.8	 19
 156	 2023-12-20 13:31:20	 15.8	 22
 157	 2023-12-20 13:31:36	 15.8	 22
 158	 2023-12-20 13:31:52	 15.8	 22
 159	 2023-12-20 13:32:08	 15.8	 19
 160	 2023-12-20 13:32:24	 15.8	 19
 161	 2023-12-20 13:32:40	 15.8	 19
 162	 2023-12-20 13:32:56	 15.8	 19
 163	 2023-12-20 13:33:12	 15.8	 19
 164	 2023-12-20 13:33:28	 15.8	 19
 165	 2023-12-20 13:33:44	 15.8	 19
 166	 2023-12-20 13:34:00	 15.8	 19
 167	 2023-12-20 13:34:16	 15.8	 19
 168	 2023-12-20 13:34:32	 15.8	 19
 169	 2023-12-20 13:34:48	 15.8	 19
 170	 2023-12-20 13:35:04	 15.8	 19
 171	 2023-12-20 13:35:20	 15.8	 19
 172	 2023-12-20 13:35:36	 15.8	 19
 173	 2023-12-20 13:35:52	 15.8	 19
 174	 2023-12-20 13:36:08	 15.8	 19
 175	 2023-12-20 13:36:24	 15.8	 19
 176	 2023-12-20 13:36:40	 15.8	 19
 177	 2023-12-20 13:36:56	 15.8	 19
 178	 2023-12-20 13:37:12	 15.8	 19
 179	 2023-12-20 13:37:28	 15.8	 19
 180	 2023-12-20 13:37:44	 15.8	 19
 181	 2023-12-20 13:38:00	 15.8	 19
 182	 2023-12-20 13:38:16	 15.8	 19
 183	 2023-12-20 13:38:32	 15.8	 19
 184	 2023-12-20 13:38:48	 15.8	 19
 185	 2023-12-20 13:39:04	 15.8	 19
 186	 2023-12-20 13:39:20	 15.8	 19
 187	 2023-12-20 13:39:36	 15.8	 19
 188	 2023-12-20 13:39:52	 15.8	 19
 189	 2023-12-20 13:40:08	 15.8	 19
 190	 2023-12-20 13:40:24	 15.8	 19
 191	 2023-12-20 13:40:40	 15.8	 19
 192	 2023-12-20 13:40:56	 15.8	 19
 193	 2023-12-20 13:41:12	 15.8	 19
 194	 2023-12-20 13:41:28	 15.8	 19
 195	 2023-12-20 13:41:44	 15.8	 19
 196	 2023-12-20 13:42:00	 15.8	 19
 197	 2023-12-20 13:42:16	 15.8	 19
 198	 2023-12-20 13:42:32	 15.8	 19
 199	 2023-12-20 13:42:48	 15.8	 19
 200	 2023-12-20 13:43:04	 15.8	 19
 201	 2023-12-20 13:43:20	 15.8	 19
 202	 2023-12-20 13:43:36	 15.8	 19
 203	 2023-12-20 13:43:52	 15.8	 19
 204	 2023-12-20 13:44:08	 15.8	 19
 205	 2023-12-20 13:44:24	 15.8	 19
 206	 2023-12-20 13:44:40	 15.8	 19
 207	 2023-12-20 13:44:56	 15.8	 19
 208	 2023-12-20 13:45:12	 15.8	 19
 209	 2023-12-20 13:45:28	 15.8	 19
 210	 2023-12-20 13:45:44	 15.8	 19
 211	 2023-12-20 13:46:00	 15.8	 19
 212	 2023-12-20 13:46:16	 15.8	 19
 213	 2023-12-20 13:46:32	 15.8	 19
 214	 2023-12-20 13:46:48	 15.8	 19
 215	 2023-12-20 13:47:04	 15.8	 19
 216	 2023-12-20 13:47:20	 15.8	 19
 217	 2023-12-20 13:47:36	 15.8	 19
 218	 2023-12-20 13:47:52	 15.8	 19
 219	 2023-12-20 13:48:08	 15.8	 19
 220	 2023-12-20 13:48:24	 15.8	 19
 221	 2023-12-20 13:48:40	 15.8	 19
 222	 2023-12-20 13:48:56	 15.8	 19
 223	 2023-12-20 13:49:12	 15.8	 19
 224	 2023-12-20 13:49:28	 15.8	 19
 225	 2023-12-20 13:49:44	 15.8	 19
 226	 2023-12-20 13:50:00	 15.8	 19
 227	 2023-12-20 13:50:16	 15.8	 19
 228	 2023-12-20 13:50:32	 15.8	 19
 229	 2023-12-20 13:50:48	 15.8	 19
 230	 2023-12-20 13:51:04	 15.8	 19
 231	 2023-12-20 13:51:20	 15.8	 19
 232	 2023-12-20 13:51:36	 15.8	 19
 233	 2023-12-20 13:51:52	 15.8	 22
 234	 2023-12-20 13:52:08	 15.8	 22
 235	 2023-12-20 13:52:24	 15.8	 22
 236	 2023-12-20 13:52:40	 15.8	 22
 237	 2023-12-20 13:52:56	 15.8	 22
 238	 2023-12-20 13:53:12	 15.8	 22
 239	 2023-12-20 13:53:28	 15.8	 22
 240	 2023-12-20 13:53:44	 15.8	 22
 241	 2023-12-20 13:54:00	 15.8	 22
 242	 2023-12-20 13:54:16	 15.8	 22
 243	 2023-12-20 13:54:32	 15.8	 22
 244	 2023-12-20 13:54:48	 15.8	 22
 245	 2023-12-20 13:55:04	 15.8	 22
 246	 2023-12-20 13:55:20	 15.8	 22
 247	 2023-12-20 13:55:36	 15.8	 22
 248	 2023-12-20 13:55:52	 15.8	 22
 249	 2023-12-20 13:56:08	 15.8	 22
 250	 2023-12-20 13:56:24	 15.7	 22
 251	 2023-12-20 13:56:40	 15.7	 22
 252	 2023-12-20 13:56:56	 15.7	 22
 253	 2023-12-20 13:57:12	 15.7	 22
 254	 2023-12-20 13:57:28	 15.7	 22
 255	 2023-12-20 13:57:44	 15.7	 22
 256	 2023-12-20 13:58:00	 15.7	 22
 257	 2023-12-20 13:58:16	 15.7	 22
 258	 2023-12-20 13:58:32	 15.7	 22
 259	 2023-12-20 13:58:48	 15.8	 22
 260	 2023-12-20 13:59:04	 15.7	 22
 261	 2023-12-20 13:59:20	 15.7	 22
 262	 2023-12-20 13:59:36	 15.7	 22
 263	 2023-12-20 13:59:52	 15.7	 22
 264	 2023-12-20 14:00:08	 15.8	 22
 265	 2023-12-20 14:00:24	 15.7	 22
 266	 2023-12-20 14:00:40	 15.7	 22
 267	 2023-12-20 14:00:56	 15.8	 22
 268	 2023-12-20 14:01:12	 15.7	 22
 269	 2023-12-20 14:01:28	 15.7	 22
 270	 2023-12-20 14:01:44	 15.8	 22
 271	 2023-12-20 14:02:00	 15.8	 22
 272	 2023-12-20 14:02:16	 15.7	 22
 273	 2023-12-20 14:02:32	 15.8	 22
 274	 2023-12-20 14:02:48	 15.7	 22
 275	 2023-12-20 14:03:04	 15.7	 22
 276	 2023-12-20 14:03:20	 15.7	 22
 277	 2023-12-20 14:03:36	 15.7	 22
 278	 2023-12-20 14:03:52	 15.7	 22
 279	 2023-12-20 14:04:08	 15.7	 22
 280	 2023-12-20 14:04:24	 15.7	 22
 281	 2023-12-20 14:04:40	 15.7	 22
 282	 2023-12-20 14:04:56	 15.8	 22
 283	 2023-12-20 14:05:12	 15.7	 22
 284	 2023-12-20 14:05:28	 15.7	 22
 285	 2023-12-20 14:05:44	 15.7	 22
 286	 2023-12-20 14:06:00	 15.7	 22
 287	 2023-12-20 14:06:16	 15.7	 22
 288	 2023-12-20 14:06:32	 15.7	 22
 289	 2023-12-20 14:06:48	 15.7	 22
 290	 2023-12-20 14:07:04	 15.7	 22
 291	 2023-12-20 14:07:20	 15.7	 22
 292	 2023-12-20 14:07:36	 15.7	 22
 293	 2023-12-20 14:07:52	 15.7	 22
 294	 2023-12-20 14:08:08	 15.8	 22
 295	 2023-12-20 14:08:24	 15.8	 22
 296	 2023-12-20 14:08:40	 15.7	 22
 297	 2023-12-20 14:08:56	 15.8	 22
 298	 2023-12-20 14:09:12	 15.8	 22
 299	 2023-12-20 14:09:28	 15.8	 22
 300	 2023-12-20 14:09:44	 15.8	 22
 301	 2023-12-20 14:10:00	 15.8	 22
 302	 2023-12-20 14:10:16	 15.7	 22
 303	 2023-12-20 14:10:32	 15.7	 22
 304	 2023-12-20 14:10:48	 15.8	 22
 305	 2023-12-20 14:11:04	 15.8	 22
 306	 2023-12-20 14:11:20	 15.7	 22
 307	 2023-12-20 14:11:36	 15.7	 22
 308	 2023-12-20 14:11:52	 15.7	 22
 309	 2023-12-20 14:12:08	 15.7	 22
 310	 2023-12-20 14:12:24	 15.7	 22
 311	 2023-12-20 14:12:40	 15.7	 22
 312	 2023-12-20 14:12:56	 15.7	 22
 313	 2023-12-20 14:13:12	 15.7	 22
 314	 2023-12-20 14:13:28	 15.7	 22
 315	 2023-12-20 14:13:44	 15.7	 22
 316	 2023-12-20 14:14:00	 15.7	 22
 317	 2023-12-20 14:14:16	 15.7	 22
 318	 2023-12-20 14:14:32	 15.7	 22
 319	 2023-12-20 14:14:48	 15.7	 22
 320	 2023-12-20 14:15:04	 15.7	 22
 321	 2023-12-20 14:15:20	 15.7	 22
 322	 2023-12-20 14:15:36	 15.7	 22
 323	 2023-12-20 14:15:52	 15.7	 22
 324	 2023-12-20 14:16:08	 15.7	 22
 325	 2023-12-20 14:16:24	 15.7	 22
 326	 2023-12-20 14:16:40	 15.7	 22
 327	 2023-12-20 14:16:56	 15.7	 22
 328	 2023-12-20 14:17:12	 15.7	 22
 329	 2023-12-20 14:17:28	 15.7	 22
 330	 2023-12-20 14:17:44	 15.7	 22
 331	 2023-12-20 14:18:00	 15.7	 22
 332	 2023-12-20 14:18:16	 15.7	 22
 333	 2023-12-20 14:18:32	 15.7	 22
 334	 2023-12-20 14:18:48	 15.7	 22
 335	 2023-12-20 14:19:04	 15.7	 22
 336	 2023-12-20 14:19:20	 15.7	 22
 337	 2023-12-20 14:19:36	 15.7	 22
 338	 2023-12-20 14:19:52	 15.7	 22
 339	 2023-12-20 14:20:08	 15.7	 22
 340	 2023-12-20 14:20:24	 15.7	 22
 341	 2023-12-20 14:20:40	 15.7	 22
 342	 2023-12-20 14:20:56	 15.7	 22
 343	 2023-12-20 14:21:12	 15.7	 22
 344	 2023-12-20 14:21:28	 15.7	 22
 345	 2023-12-20 14:21:44	 15.7	 22
 346	 2023-12-20 14:22:00	 15.7	 22
 347	 2023-12-20 14:22:16	 15.7	 22
 348	 2023-12-20 14:22:32	 15.7	 22
 349	 2023-12-20 14:22:48	 15.7	 22
 350	 2023-12-20 14:23:04	 15.7	 22
 351	 2023-12-20 14:23:20	 15.7	 22
 352	 2023-12-20 14:23:36	 15.7	 22
 353	 2023-12-20 14:23:52	 15.7	 22
 354	 2023-12-20 14:24:08	 15.7	 22
 355	 2023-12-20 14:24:24	 15.7	 22
 356	 2023-12-20 14:24:40	 15.7	 22
 357	 2023-12-20 14:24:56	 15.7	 22
 358	 2023-12-20 14:25:12	 15.7	 22
 359	 2023-12-20 14:25:28	 15.7	 22
 360	 2023-12-20 14:25:44	 15.7	 22
 361	 2023-12-20 14:26:00	 15.7	 22
 362	 2023-12-20 14:26:16	 15.7	 22
 363	 2023-12-20 14:26:32	 15.7	 22
 364	 2023-12-20 14:26:48	 15.7	 22
 365	 2023-12-20 14:27:04	 15.7	 22
 366	 2023-12-20 14:27:20	 15.8	 22
 367	 2023-12-20 14:27:36	 15.8	 22
 368	 2023-12-20 14:27:52	 15.7	 22
 369	 2023-12-20 14:28:08	 15.8	 22
 370	 2023-12-20 14:28:24	 15.8	 22
 371	 2023-12-20 14:28:40	 15.8	 22
 372	 2023-12-20 14:28:56	 15.8	 22
 373	 2023-12-20 14:29:12	 15.8	 28
 374	 2023-12-20 14:29:28	 15.8	 28
 375	 2023-12-20 14:29:44	 15.9	 28
 376	 2023-12-20 14:30:00	 15.9	 28
 377	 2023-12-20 14:30:16	 15.9	 28
 378	 2023-12-20 14:30:32	 15.9	 28
 379	 2023-12-20 14:30:48	 15.9	 28
 380	 2023-12-20 14:31:04	 15.9	 30
 381	 2023-12-20 14:31:20	 15.9	 30
 382	 2023-12-20 14:31:36	 15.9	 30
 383	 2023-12-20 14:31:52	 16.0	 30
 384	 2023-12-20 14:32:08	 16.0	 31
 385	 2023-12-20 14:32:24	 16.0	 31
 386	 2023-12-20 14:32:40	 16.0	 31
 387	 2023-12-20 14:32:56	 16.0	 31
 388	 2023-12-20 14:33:12	 16.0	 31
 389	 2023-12-20 14:33:28	 16.0	 32
 390	 2023-12-20 14:33:44	 16.0	 32
 391	 2023-12-20 14:34:00	 16.0	 32
 392	 2023-12-20 14:34:16	 16.0	 32
 393	 2023-12-20 14:34:32	 16.1	 32
 394	 2023-12-20 14:34:48	 16.1	 32
 395	 2023-12-20 14:35:04	 16.1	 33
 396	 2023-12-20 14:35:20	 16.1	 33
 397	 2023-12-20 14:35:36	 16.1	 33
 398	 2023-12-20 14:35:52	 16.0	 33
 399	 2023-12-20 14:36:08	 16.0	 33
 400	 2023-12-20 14:36:24	 16.1	 33
 401	 2023-12-20 14:36:40	 16.1	 33
 402	 2023-12-20 14:36:56	 16.1	 33
 403	 2023-12-20 14:37:12	 16.0	 33
 404	 2023-12-20 14:37:28	 16.0	 33
 405	 2023-12-20 14:37:44	 16.0	 33
 406	 2023-12-20 14:38:00	 16.0	 33
 407	 2023-12-20 14:38:16	 16.0	 33
 408	 2023-12-20 14:38:32	 16.0	 33
 409	 2023-12-20 14:38:48	 16.0	 34
 410	 2023-12-20 14:39:04	 16.0	 34
 411	 2023-12-20 14:39:20	 16.0	 34
 412	 2023-12-20 14:39:36	 16.0	 34
 413	 2023-12-20 14:39:52	 16.0	 34
 414	 2023-12-20 14:40:08	 16.0	 34
 415	 2023-12-20 14:40:24	 16.0	 34
 416	 2023-12-20 14:40:40	 16.0	 34
 417	 2023-12-20 14:40:56	 16.0	 34
 418	 2023-12-20 14:41:12	 16.0	 34
 419	 2023-12-20 14:41:28	 16.0	 34
 420	 2023-12-20 14:41:44	 16.0	 34
 421	 2023-12-20 14:42:00	 16.0	 34
 422	 2023-12-20 14:42:16	 16.0	 34
 423	 2023-12-20 14:42:32	 16.0	 34
 424	 2023-12-20 14:42:48	 16.0	 34
 425	 2023-12-20 14:43:04	 16.0	 34
 426	 2023-12-20 14:43:20	 16.0	 34
 427	 2023-12-20 14:43:36	 16.0	 34
 428	 2023-12-20 14:43:52	 16.0	 34
 429	 2023-12-20 14:44:08	 16.0	 34
 430	 2023-12-20 14:44:24	 16.0	 34
 431	 2023-12-20 14:44:40	 16.0	 34
 432	 2023-12-20 14:44:56	 16.0	 34
 433	 2023-12-20 14:45:12	 16.0	 34
 434	 2023-12-20 14:45:28	 16.0	 34
 435	 2023-12-20 14:45:44	 16.0	 34
 436	 2023-12-20 14:46:00	 16.0	 34
 437	 2023-12-20 14:46:16	 16.0	 34
 438	 2023-12-20 14:46:32	 16.0	 34
 439	 2023-12-20 14:46:48	 16.0	 34
 440	 2023-12-20 14:47:04	 16.0	 35
 441	 2023-12-20 14:47:20	 16.0	 35
 442	 2023-12-20 14:47:36	 15.9	 35
 443	 2023-12-20 14:47:52	 16.0	 35
 444	 2023-12-20 14:48:08	 15.9	 35
 445	 2023-12-20 14:48:24	 15.9	 35
 446	 2023-12-20 14:48:40	 15.9	 35
 447	 2023-12-20 14:48:56	 15.9	 35
 448	 2023-12-20 14:49:12	 15.9	 35
 449	 2023-12-20 14:49:28	 15.9	 35
 450	 2023-12-20 14:49:44	 15.9	 35
 451	 2023-12-20 14:50:00	 15.9	 35
 452	 2023-12-20 14:50:16	 15.9	 35
 453	 2023-12-20 14:50:32	 15.9	 35
 454	 2023-12-20 14:50:48	 15.9	 35
 455	 2023-12-20 14:51:04	 15.9	 35
 456	 2023-12-20 14:51:20	 15.9	 35
 457	 2023-12-20 14:51:36	 15.9	 35
 458	 2023-12-20 14:51:52	 15.9	 35
 459	 2023-12-20 14:52:08	 15.9	 35
 460	 2023-12-20 14:52:24	 15.9	 35
 461	 2023-12-20 14:52:40	 15.9	 36
 462	 2023-12-20 14:52:56	 15.9	 36
 463	 2023-12-20 14:53:12	 15.9	 36
 464	 2023-12-20 14:53:28	 15.9	 36
 465	 2023-12-20 14:53:44	 15.9	 36
 466	 2023-12-20 14:54:00	 16.0	 37
 467	 2023-12-20 14:54:16	 16.0	 38
 468	 2023-12-20 14:54:32	 16.0	 40
 469	 2023-12-20 14:54:48	 16.1	 40
 470	 2023-12-20 14:55:04	 16.1	 41
 471	 2023-12-20 14:55:20	 16.1	 41
 472	 2023-12-20 14:55:36	 16.2	 42
 473	 2023-12-20 14:55:52	 16.3	 42
 474	 2023-12-20 14:56:08	 16.3	 42
 475	 2023-12-20 14:56:24	 16.3	 43
 476	 2023-12-20 14:56:40	 16.3	 43
 477	 2023-12-20 14:56:56	 16.4	 44
 478	 2023-12-20 14:57:12	 16.4	 45
 479	 2023-12-20 14:57:28	 16.5	 45
 480	 2023-12-20 14:57:44	 16.5	 45
 481	 2023-12-20 14:58:00	 16.5	 46
 482	 2023-12-20 14:58:16	 16.5	 46
 483	 2023-12-20 14:58:32	 16.5	 45
 484	 2023-12-20 14:58:48	 16.5	 44
 485	 2023-12-20 14:59:04	 16.5	 42
 486	 2023-12-20 14:59:20	 16.5	 41
 487	 2023-12-20 14:59:36	 16.5	 40
 488	 2023-12-20 14:59:52	 16.5	 39
 489	 2023-12-20 15:00:08	 16.5	 36
 490	 2023-12-20 15:00:24	 16.5	 34
 491	 2023-12-20 15:00:40	 16.5	 32
 492	 2023-12-20 15:00:56	 16.5	 31
 493	 2023-12-20 15:01:12	 16.5	 30
 494	 2023-12-20 15:01:28	 16.5	 30
 495	 2023-12-20 15:01:44	 16.5	 28
 496	 2023-12-20 15:02:00	 16.5	 28
 497	 2023-12-20 15:02:16	 16.5	 22
 498	 2023-12-20 15:02:32	 16.4	 22
 499	 2023-12-20 15:02:48	 16.4	 22
 500	 2023-12-20 15:03:04	 16.4	 22
 501	 2023-12-20 15:03:20	 16.4	 22
 502	 2023-12-20 15:03:36	 16.4	 22
 503	 2023-12-20 15:03:52	 16.4	 22
 504	 2023-12-20 15:04:08	 16.4	 22
 505	 2023-12-20 15:04:24	 16.4	 19
 506	 2023-12-20 15:04:40	 16.4	 19
 507	 2023-12-20 15:04:56	 16.4	 19
 508	 2023-12-20 15:05:12	 16.4	 19
 509	 2023-12-20 15:05:28	 16.4	 19
 510	 2023-12-20 15:05:44	 16.4	 19
 511	 2023-12-20 15:06:00	 16.4	 19
 512	 2023-12-20 15:06:16	 16.4	 19
 513	 2023-12-20 15:06:32	 16.4	 19
 514	 2023-12-20 15:06:48	 16.4	 19
 515	 2023-12-20 15:07:04	 16.4	 19
 516	 2023-12-20 15:07:20	 16.4	 19
 517	 2023-12-20 15:07:36	 16.4	 19
 518	 2023-12-20 15:07:52	 16.4	 19
 519	 2023-12-20 15:08:08	 16.4	 19
 520	 2023-12-20 15:08:24	 16.4	 19
 521	 2023-12-20 15:08:40	 16.4	 19
 522	 2023-12-20 15:08:56	 16.4	 19
 523	 2023-12-20 15:09:12	 16.4	 19
 524	 2023-12-20 15:09:28	 16.4	 19
 525	 2023-12-20 15:09:44	 16.4	 19
 526	 2023-12-20 15:10:00	 16.4	 19
 527	 2023-12-20 15:10:16	 16.4	 19
 528	 2023-12-20 15:10:32	 16.4	 19
 529	 2023-12-20 15:10:48	 16.3	 19
 530	 2023-12-20 15:11:04	 16.4	 19
 531	 2023-12-20 15:11:20	 16.4	 19
 532	 2023-12-20 15:11:36	 16.4	 19
 533	 2023-12-20 15:11:52	 16.3	 19
 534	 2023-12-20 15:12:08	 16.3	 19
 535	 2023-12-20 15:12:24	 16.3	 19
 536	 2023-12-20 15:12:40	 16.3	 19
 537	 2023-12-20 15:12:56	 16.3	 19
 538	 2023-12-20 15:13:12	 16.3	 19
 539	 2023-12-20 15:13:28	 16.3	 19
 540	 2023-12-20 15:13:44	 16.3	 19
 541	 2023-12-20 15:14:00	 16.3	 19
 542	 2023-12-20 15:14:16	 16.3	 19
 543	 2023-12-20 15:14:32	 16.3	 19
 544	 2023-12-20 15:14:48	 16.3	 19
 545	 2023-12-20 15:15:04	 16.3	 19
 546	 2023-12-20 15:15:20	 16.3	 19
 547	 2023-12-20 15:15:36	 16.3	 19
 548	 2023-12-20 15:15:52	 16.3	 19
 549	 2023-12-20 15:16:08	 16.3	 19
 550	 2023-12-20 15:16:24	 16.3	 19
 551	 2023-12-20 15:16:40	 16.3	 19
 552	 2023-12-20 15:16:56	 16.3	 19
 553	 2023-12-20 15:17:12	 16.3	 19
 554	 2023-12-20 15:17:28	 16.3	 19
 555	 2023-12-20 15:17:44	 16.3	 19
 556	 2023-12-20 15:18:00	 16.2	 19
 557	 2023-12-20 15:18:16	 16.3	 19
